Shops,Date,quantity
shop_19,2022-09-15,70.0
shop_0,2022-09-14,2.0
shop_2,2022-09-14,33.0
shop_3,2022-09-14,23.0
shop_4,2022-09-14,50.0
shop_6,2022-09-14,81.0
shop_7,2022-09-14,4.0
shop_8,2022-09-14,63.0
shop_9,2022-09-14,52.0
shop_12,2022-09-14,7.0
shop_15,2022-09-14,30.0
shop_16,2022-09-14,19.0
shop_17,2022-09-14,44.0
shop_19,2022-09-14,68.0
shop_1,2022-09-13,56.0
shop_2,2022-09-13,29.0
shop_3,2022-09-13,16.0
shop_6,2022-09-13,57.0
shop_8,2022-09-13,10.0
shop_12,2022-09-13,3.0
shop_13,2022-09-13,56.0
shop_14,2022-09-13,3.0
shop_15,2022-09-13,33.0
shop_17,2022-09-13,43.0
shop_18,2022-09-13,33.0
shop_19,2022-09-13,17.0
shop_0,2022-09-12,14.0
shop_3,2022-09-12,5.0
shop_4,2022-09-12,85.0
shop_6,2022-09-12,29.0
shop_8,2022-09-12,10.0
shop_13,2022-09-12,32.0
shop_15,2022-09-12,3.0
shop_16,2022-09-12,16.0
shop_17,2022-09-12,11.0
shop_18,2022-09-12,10.0
shop_1,2022-09-11,140.0
shop_2,2022-09-11,38.0
shop_3,2022-09-11,24.0
shop_4,2022-09-11,85.0
shop_8,2022-09-11,82.0
shop_9,2022-09-11,4.0
shop_10,2022-09-11,4.0
shop_13,2022-09-11,21.0
shop_15,2022-09-11,6.0
shop_17,2022-09-11,99.0
shop_18,2022-09-11,9.0
shop_19,2022-09-11,119.0
shop_1,2022-09-10,77.0
shop_2,2022-09-10,1.0
shop_3,2022-09-10,45.0
shop_6,2022-09-10,141.0
shop_9,2022-09-10,82.0
shop_13,2022-09-10,77.0
shop_14,2022-09-10,10.0
shop_15,2022-09-10,52.0
shop_16,2022-09-10,92.0
shop_17,2022-09-10,11.0
shop_18,2022-09-10,12.0
shop_1,2022-09-09,75.0
shop_2,2022-09-09,41.0
shop_3,2022-09-09,38.0
shop_6,2022-09-09,4.0
shop_9,2022-09-09,116.0
shop_10,2022-09-09,4.0
shop_11,2022-09-09,19.0
shop_13,2022-09-09,132.0
shop_14,2022-09-09,20.0
shop_15,2022-09-09,42.0
shop_16,2022-09-09,80.0
shop_17,2022-09-09,82.0
shop_1,2022-09-08,72.0
shop_2,2022-09-08,17.0
shop_3,2022-09-08,20.0
shop_6,2022-09-08,11.0
shop_7,2022-09-08,10.0
shop_8,2022-09-08,86.0
shop_9,2022-09-08,83.0
shop_13,2022-09-08,58.0
shop_19,2022-09-08,99.0
shop_0,2022-09-07,6.0
shop_2,2022-09-07,48.0
shop_4,2022-09-07,85.0
shop_6,2022-09-07,8.0
shop_8,2022-09-07,11.0
shop_9,2022-09-07,56.0
shop_12,2022-09-07,9.0
shop_13,2022-09-07,8.0
shop_15,2022-09-07,12.0
shop_16,2022-09-07,33.0
shop_17,2022-09-07,37.0
shop_18,2022-09-07,55.0
shop_19,2022-09-07,31.0
shop_0,2022-09-06,41.0
shop_1,2022-09-06,57.0
shop_2,2022-09-06,31.0
shop_3,2022-09-06,23.0
shop_6,2022-09-06,94.0
shop_9,2022-09-06,55.0
shop_10,2022-09-06,12.0
shop_11,2022-09-06,11.0
shop_16,2022-09-06,19.0
shop_17,2022-09-06,58.0
shop_19,2022-09-06,51.0
shop_2,2022-09-05,11.0
shop_3,2022-09-05,59.0
shop_8,2022-09-05,5.0
shop_9,2022-09-05,119.0
shop_11,2022-09-05,42.0
shop_12,2022-09-05,8.0
shop_13,2022-09-05,160.0
shop_14,2022-09-05,9.0
shop_15,2022-09-05,66.0
shop_16,2022-09-05,81.0
shop_17,2022-09-05,128.0
shop_18,2022-09-05,23.0
shop_1,2022-09-04,103.0
shop_3,2022-09-04,39.0
shop_4,2022-09-04,46.0
shop_6,2022-09-04,159.0
shop_9,2022-09-04,132.0
shop_11,2022-09-04,90.0
shop_12,2022-09-04,18.0
shop_13,2022-09-04,57.0
shop_15,2022-09-04,53.0
shop_16,2022-09-04,24.0
shop_18,2022-09-04,22.0
shop_19,2022-09-04,103.0
shop_1,2022-09-03,123.0
shop_4,2022-09-03,37.0
shop_6,2022-09-03,92.0
shop_8,2022-09-03,39.0
shop_9,2022-09-03,86.0
shop_11,2022-09-03,32.0
shop_12,2022-09-03,19.0
shop_13,2022-09-03,18.0
shop_14,2022-09-03,11.0
shop_15,2022-09-03,34.0
shop_17,2022-09-03,167.0
shop_18,2022-09-03,14.0
shop_19,2022-09-03,1.0
shop_0,2022-09-02,12.0
shop_1,2022-09-02,107.0
shop_2,2022-09-02,31.0
shop_3,2022-09-02,15.0
shop_4,2022-09-02,93.0
shop_5,2022-09-02,27.0
shop_6,2022-09-02,6.0
shop_8,2022-09-02,32.0
shop_9,2022-09-02,127.0
shop_11,2022-09-02,20.0
shop_13,2022-09-02,156.0
shop_14,2022-09-02,15.0
shop_16,2022-09-02,145.0
shop_17,2022-09-02,72.0
shop_19,2022-09-02,129.0
shop_0,2022-09-01,2.0
shop_1,2022-09-01,117.0
shop_2,2022-09-01,54.0
shop_4,2022-09-01,22.0
shop_6,2022-09-01,121.0
shop_8,2022-09-01,33.0
shop_10,2022-09-01,8.0
shop_13,2022-09-01,104.0
shop_14,2022-09-01,20.0
shop_15,2022-09-01,5.0
shop_16,2022-09-01,98.0
shop_17,2022-09-01,1.0
shop_18,2022-09-01,8.0
shop_19,2022-09-01,64.0
shop_0,2022-08-31,8.0
shop_1,2022-08-31,63.0
shop_3,2022-08-31,57.0
shop_4,2022-08-31,113.0
shop_6,2022-08-31,151.0
shop_7,2022-08-31,2.0
shop_8,2022-08-31,57.0
shop_9,2022-08-31,92.0
shop_13,2022-08-31,177.0
shop_14,2022-08-31,12.0
shop_15,2022-08-31,11.0
shop_16,2022-08-31,65.0
shop_17,2022-08-31,205.0
shop_1,2022-08-30,26.0
shop_2,2022-08-30,47.0
shop_4,2022-08-30,162.0
shop_5,2022-08-30,1.0
shop_8,2022-08-30,79.0
shop_10,2022-08-30,2.0
shop_11,2022-08-30,37.0
shop_13,2022-08-30,117.0
shop_15,2022-08-30,57.0
shop_16,2022-08-30,80.0
shop_17,2022-08-30,8.0
shop_0,2022-08-29,47.0
shop_1,2022-08-29,6.0
shop_2,2022-08-29,10.0
shop_3,2022-08-29,61.0
shop_4,2022-08-29,139.0
shop_6,2022-08-29,114.0
shop_7,2022-08-29,17.0
shop_9,2022-08-29,118.0
shop_10,2022-08-29,9.0
shop_12,2022-08-29,4.0
shop_13,2022-08-29,216.0
shop_15,2022-08-29,47.0
shop_16,2022-08-29,116.0
shop_18,2022-08-29,30.0
shop_19,2022-08-29,86.0
shop_0,2022-08-28,14.0
shop_1,2022-08-28,13.0
shop_2,2022-08-28,91.0
shop_3,2022-08-28,55.0
shop_4,2022-08-28,86.0
shop_5,2022-08-28,11.0
shop_6,2022-08-28,205.0
shop_11,2022-08-28,55.0
shop_13,2022-08-28,84.0
shop_15,2022-08-28,33.0
shop_16,2022-08-28,116.0
shop_17,2022-08-28,27.0
shop_18,2022-08-28,61.0
shop_19,2022-08-28,109.0
shop_0,2022-08-27,75.0
shop_1,2022-08-27,227.0
shop_3,2022-08-27,38.0
shop_4,2022-08-27,86.0
shop_6,2022-08-27,71.0
shop_7,2022-08-27,29.0
shop_8,2022-08-27,14.0
shop_9,2022-08-27,30.0
shop_10,2022-08-27,3.0
shop_11,2022-08-27,58.0
shop_12,2022-08-27,20.0
shop_13,2022-08-27,186.0
shop_15,2022-08-27,48.0
shop_16,2022-08-27,41.0
shop_17,2022-08-27,104.0
shop_18,2022-08-27,35.0
shop_19,2022-08-27,243.0
shop_1,2022-08-26,106.0
shop_2,2022-08-26,32.0
shop_3,2022-08-26,66.0
shop_4,2022-08-26,36.0
shop_5,2022-08-26,15.0
shop_6,2022-08-26,216.0
shop_8,2022-08-26,18.0
shop_9,2022-08-26,54.0
shop_11,2022-08-26,51.0
shop_13,2022-08-26,170.0
shop_14,2022-08-26,24.0
shop_15,2022-08-26,80.0
shop_16,2022-08-26,33.0
shop_18,2022-08-26,8.0
shop_19,2022-08-26,109.0
shop_0,2022-08-25,49.0
shop_1,2022-08-25,245.0
shop_3,2022-08-25,63.0
shop_4,2022-08-25,6.0
shop_6,2022-08-25,75.0
shop_8,2022-08-25,145.0
shop_9,2022-08-25,101.0
shop_11,2022-08-25,1.0
shop_13,2022-08-25,49.0
shop_15,2022-08-25,55.0
shop_16,2022-08-25,35.0
shop_17,2022-08-25,131.0
shop_18,2022-08-25,38.0
shop_19,2022-08-25,123.0
shop_0,2022-08-24,50.0
shop_1,2022-08-24,209.0
shop_2,2022-08-24,71.0
shop_4,2022-08-24,167.0
shop_6,2022-08-24,79.0
shop_7,2022-08-24,2.0
shop_9,2022-08-24,53.0
shop_10,2022-08-24,21.0
shop_12,2022-08-24,7.0
shop_13,2022-08-24,84.0
shop_15,2022-08-24,44.0
shop_16,2022-08-24,62.0
shop_17,2022-08-24,172.0
shop_19,2022-08-24,121.0
shop_0,2022-08-23,64.0
shop_1,2022-08-23,96.0
shop_2,2022-08-23,99.0
shop_3,2022-08-23,41.0
shop_4,2022-08-23,103.0
shop_6,2022-08-23,225.0
shop_8,2022-08-23,143.0
shop_9,2022-08-23,238.0
shop_11,2022-08-23,23.0
shop_12,2022-08-23,35.0
shop_13,2022-08-23,117.0
shop_14,2022-08-23,19.0
shop_15,2022-08-23,97.0
shop_16,2022-08-23,39.0
shop_17,2022-08-23,60.0
shop_19,2022-08-23,28.0
shop_0,2022-08-22,44.0
shop_1,2022-08-22,203.0
shop_3,2022-08-22,25.0
shop_4,2022-08-22,170.0
shop_6,2022-08-22,156.0
shop_8,2022-08-22,39.0
shop_9,2022-08-22,181.0
shop_12,2022-08-22,33.0
shop_13,2022-08-22,199.0
shop_15,2022-08-22,23.0
shop_17,2022-08-22,141.0
shop_18,2022-08-22,56.0
shop_19,2022-08-22,193.0
shop_0,2022-08-21,19.0
shop_1,2022-08-21,258.0
shop_2,2022-08-21,96.0
shop_3,2022-08-21,22.0
shop_4,2022-08-21,140.0
shop_6,2022-08-21,268.0
shop_7,2022-08-21,10.0
shop_8,2022-08-21,60.0
shop_9,2022-08-21,17.0
shop_12,2022-08-21,22.0
shop_13,2022-08-21,55.0
shop_15,2022-08-21,85.0
shop_16,2022-08-21,110.0
shop_17,2022-08-21,78.0
shop_18,2022-08-21,9.0
shop_19,2022-08-21,10.0
shop_0,2022-08-20,28.0
shop_1,2022-08-20,275.0
shop_2,2022-08-20,7.0
shop_3,2022-08-20,73.0
shop_4,2022-08-20,173.0
shop_6,2022-08-20,202.0
shop_7,2022-08-20,32.0
shop_8,2022-08-20,116.0
shop_9,2022-08-20,1.0
shop_10,2022-08-20,34.0
shop_13,2022-08-20,20.0
shop_16,2022-08-20,4.0
shop_17,2022-08-20,42.0
shop_18,2022-08-20,32.0
shop_19,2022-08-20,297.0
shop_0,2022-08-19,93.0
shop_3,2022-08-19,87.0
shop_4,2022-08-19,145.0
shop_6,2022-08-19,171.0
shop_7,2022-08-19,47.0
shop_9,2022-08-19,131.0
shop_10,2022-08-19,1.0
shop_11,2022-08-19,120.0
shop_12,2022-08-19,25.0
shop_13,2022-08-19,206.0
shop_14,2022-08-19,23.0
shop_15,2022-08-19,31.0
shop_16,2022-08-19,150.0
shop_17,2022-08-19,234.0
shop_19,2022-08-19,59.0
shop_1,2022-08-18,240.0
shop_2,2022-08-18,22.0
shop_3,2022-08-18,66.0
shop_4,2022-08-18,168.0
shop_5,2022-08-18,7.0
shop_6,2022-08-18,228.0
shop_8,2022-08-18,118.0
shop_10,2022-08-18,1.0
shop_11,2022-08-18,121.0
shop_12,2022-08-18,1.0
shop_13,2022-08-18,345.0
shop_15,2022-08-18,143.0
shop_16,2022-08-18,56.0
shop_17,2022-08-18,72.0
shop_18,2022-08-18,97.0
shop_19,2022-08-18,203.0
shop_0,2022-08-17,74.0
shop_1,2022-08-17,111.0
shop_3,2022-08-17,44.0
shop_4,2022-08-17,98.0
shop_5,2022-08-17,6.0
shop_6,2022-08-17,314.0
shop_8,2022-08-17,135.0
shop_9,2022-08-17,251.0
shop_12,2022-08-17,3.0
shop_13,2022-08-17,187.0
shop_15,2022-08-17,25.0
shop_16,2022-08-17,95.0
shop_17,2022-08-17,47.0
shop_18,2022-08-17,4.0
shop_19,2022-08-17,67.0
shop_0,2022-08-16,60.0
shop_1,2022-08-16,260.0
shop_2,2022-08-16,49.0
shop_3,2022-08-16,12.0
shop_4,2022-08-16,50.0
shop_6,2022-08-16,30.0
shop_8,2022-08-16,111.0
shop_9,2022-08-16,166.0
shop_11,2022-08-16,13.0
shop_12,2022-08-16,6.0
shop_13,2022-08-16,319.0
shop_14,2022-08-16,23.0
shop_15,2022-08-16,41.0
shop_17,2022-08-16,6.0
shop_19,2022-08-16,170.0
shop_1,2022-08-15,72.0
shop_3,2022-08-15,123.0
shop_4,2022-08-15,233.0
shop_5,2022-08-15,2.0
shop_6,2022-08-15,338.0
shop_7,2022-08-15,12.0
shop_8,2022-08-15,60.0
shop_9,2022-08-15,25.0
shop_10,2022-08-15,16.0
shop_11,2022-08-15,21.0
shop_12,2022-08-15,22.0
shop_16,2022-08-15,150.0
shop_17,2022-08-15,318.0
shop_18,2022-08-15,64.0
shop_19,2022-08-15,72.0
shop_1,2022-08-14,259.0
shop_2,2022-08-14,79.0
shop_4,2022-08-14,23.0
shop_5,2022-08-14,19.0
shop_8,2022-08-14,34.0
shop_9,2022-08-14,186.0
shop_11,2022-08-14,132.0
shop_13,2022-08-14,158.0
shop_14,2022-08-14,6.0
shop_15,2022-08-14,94.0
shop_16,2022-08-14,250.0
shop_17,2022-08-14,171.0
shop_18,2022-08-14,76.0
shop_0,2022-08-13,43.0
shop_1,2022-08-13,286.0
shop_2,2022-08-13,34.0
shop_3,2022-08-13,14.0
shop_4,2022-08-13,140.0
shop_6,2022-08-13,124.0
shop_8,2022-08-13,194.0
shop_9,2022-08-13,192.0
shop_12,2022-08-13,4.0
shop_13,2022-08-13,147.0
shop_15,2022-08-13,176.0
shop_16,2022-08-13,116.0
shop_17,2022-08-13,124.0
shop_18,2022-08-13,104.0
shop_19,2022-08-13,231.0
shop_1,2022-08-12,328.0
shop_3,2022-08-12,80.0
shop_4,2022-08-12,144.0
shop_5,2022-08-12,12.0
shop_6,2022-08-12,81.0
shop_7,2022-08-12,9.0
shop_9,2022-08-12,286.0
shop_11,2022-08-12,9.0
shop_13,2022-08-12,270.0
shop_17,2022-08-12,79.0
shop_19,2022-08-12,241.0
shop_1,2022-08-11,50.0
shop_2,2022-08-11,122.0
shop_3,2022-08-11,19.0
shop_4,2022-08-11,110.0
shop_5,2022-08-11,31.0
shop_6,2022-08-11,123.0
shop_8,2022-08-11,72.0
shop_9,2022-08-11,53.0
shop_11,2022-08-11,137.0
shop_13,2022-08-11,168.0
shop_15,2022-08-11,65.0
shop_16,2022-08-11,164.0
shop_17,2022-08-11,247.0
shop_18,2022-08-11,71.0
shop_19,2022-08-11,83.0
shop_0,2022-08-10,10.0
shop_1,2022-08-10,205.0
shop_2,2022-08-10,88.0
shop_3,2022-08-10,110.0
shop_4,2022-08-10,258.0
shop_5,2022-08-10,42.0
shop_6,2022-08-10,50.0
shop_7,2022-08-10,33.0
shop_8,2022-08-10,121.0
shop_9,2022-08-10,354.0
shop_11,2022-08-10,103.0
shop_12,2022-08-10,4.0
shop_14,2022-08-10,22.0
shop_15,2022-08-10,94.0
shop_17,2022-08-10,259.0
shop_18,2022-08-10,80.0
shop_19,2022-08-10,37.0
shop_0,2022-08-09,95.0
shop_1,2022-08-09,104.0
shop_2,2022-08-09,5.0
shop_3,2022-08-09,5.0
shop_4,2022-08-09,105.0
shop_6,2022-08-09,173.0
shop_8,2022-08-09,103.0
shop_9,2022-08-09,47.0
shop_10,2022-08-09,46.0
shop_11,2022-08-09,71.0
shop_12,2022-08-09,35.0
shop_13,2022-08-09,454.0
shop_14,2022-08-09,11.0
shop_15,2022-08-09,90.0
shop_16,2022-08-09,142.0
shop_18,2022-08-09,64.0
shop_19,2022-08-09,261.0
shop_0,2022-08-08,11.0
shop_1,2022-08-08,179.0
shop_2,2022-08-08,121.0
shop_3,2022-08-08,12.0
shop_4,2022-08-08,43.0
shop_9,2022-08-08,123.0
shop_10,2022-08-08,8.0
shop_11,2022-08-08,17.0
shop_12,2022-08-08,45.0
shop_13,2022-08-08,428.0
shop_15,2022-08-08,16.0
shop_16,2022-08-08,54.0
shop_17,2022-08-08,138.0
shop_19,2022-08-08,431.0
shop_1,2022-08-07,327.0
shop_2,2022-08-07,111.0
shop_3,2022-08-07,65.0
shop_4,2022-08-07,60.0
shop_7,2022-08-07,63.0
shop_8,2022-08-07,183.0
shop_9,2022-08-07,193.0
shop_10,2022-08-07,27.0
shop_11,2022-08-07,163.0
shop_12,2022-08-07,2.0
shop_13,2022-08-07,402.0
shop_15,2022-08-07,180.0
shop_17,2022-08-07,19.0
shop_18,2022-08-07,37.0
shop_19,2022-08-07,163.0
shop_1,2022-08-06,25.0
shop_2,2022-08-06,71.0
shop_3,2022-08-06,38.0
shop_4,2022-08-06,142.0
shop_6,2022-08-06,131.0
shop_8,2022-08-06,209.0
shop_9,2022-08-06,311.0
shop_11,2022-08-06,26.0
shop_12,2022-08-06,15.0
shop_13,2022-08-06,49.0
shop_14,2022-08-06,30.0
shop_15,2022-08-06,198.0
shop_16,2022-08-06,34.0
shop_17,2022-08-06,284.0
shop_18,2022-08-06,109.0
shop_19,2022-08-06,63.0
shop_0,2022-08-05,123.0
shop_1,2022-08-05,103.0
shop_2,2022-08-05,155.0
shop_3,2022-08-05,136.0
shop_4,2022-08-05,215.0
shop_5,2022-08-05,42.0
shop_6,2022-08-05,5.0
shop_9,2022-08-05,90.0
shop_10,2022-08-05,1.0
shop_11,2022-08-05,3.0
shop_12,2022-08-05,34.0
shop_13,2022-08-05,101.0
shop_15,2022-08-05,259.0
shop_16,2022-08-05,24.0
shop_17,2022-08-05,283.0
shop_18,2022-08-05,79.0
shop_19,2022-08-05,192.0
shop_0,2022-08-04,81.0
shop_1,2022-08-04,92.0
shop_2,2022-08-04,117.0
shop_6,2022-08-04,241.0
shop_8,2022-08-04,15.0
shop_9,2022-08-04,144.0
shop_10,2022-08-04,6.0
shop_11,2022-08-04,95.0
shop_12,2022-08-04,58.0
shop_13,2022-08-04,223.0
shop_15,2022-08-04,213.0
shop_17,2022-08-04,23.0
shop_18,2022-08-04,88.0
shop_19,2022-08-04,324.0
shop_0,2022-08-03,78.0
shop_1,2022-08-03,316.0
shop_2,2022-08-03,152.0
shop_3,2022-08-03,84.0
shop_4,2022-08-03,71.0
shop_5,2022-08-03,41.0
shop_8,2022-08-03,233.0
shop_9,2022-08-03,137.0
shop_11,2022-08-03,65.0
shop_12,2022-08-03,56.0
shop_13,2022-08-03,64.0
shop_14,2022-08-03,9.0
shop_15,2022-08-03,131.0
shop_16,2022-08-03,69.0
shop_17,2022-08-03,370.0
shop_18,2022-08-03,7.0
shop_19,2022-08-03,5.0
shop_0,2022-08-02,21.0
shop_1,2022-08-02,203.0
shop_2,2022-08-02,85.0
shop_4,2022-08-02,106.0
shop_6,2022-08-02,48.0
shop_8,2022-08-02,243.0
shop_9,2022-08-02,45.0
shop_11,2022-08-02,90.0
shop_12,2022-08-02,40.0
shop_13,2022-08-02,394.0
shop_14,2022-08-02,2.0
shop_15,2022-08-02,87.0
shop_16,2022-08-02,177.0
shop_17,2022-08-02,363.0
shop_18,2022-08-02,79.0
shop_19,2022-08-02,40.0
shop_0,2022-08-01,3.0
shop_1,2022-08-01,123.0
shop_2,2022-08-01,111.0
shop_3,2022-08-01,7.0
shop_4,2022-08-01,229.0
shop_5,2022-08-01,25.0
shop_6,2022-08-01,25.0
shop_7,2022-08-01,35.0
shop_8,2022-08-01,101.0
shop_10,2022-08-01,54.0
shop_13,2022-08-01,94.0
shop_15,2022-08-01,102.0
shop_16,2022-08-01,116.0
shop_17,2022-08-01,229.0
shop_18,2022-08-01,44.0
shop_19,2022-08-01,14.0
shop_0,2022-07-31,18.0
shop_1,2022-07-31,65.0
shop_2,2022-07-31,1.0
shop_3,2022-07-31,13.0
shop_4,2022-07-31,230.0
shop_5,2022-07-31,12.0
shop_6,2022-07-31,241.0
shop_9,2022-07-31,33.0
shop_10,2022-07-31,5.0
shop_11,2022-07-31,236.0
shop_12,2022-07-31,32.0
shop_15,2022-07-31,30.0
shop_16,2022-07-31,302.0
shop_17,2022-07-31,6.0
shop_18,2022-07-31,58.0
shop_19,2022-07-31,96.0
shop_1,2022-07-30,388.0
shop_2,2022-07-30,181.0
shop_3,2022-07-30,15.0
shop_5,2022-07-30,8.0
shop_6,2022-07-30,231.0
shop_8,2022-07-30,200.0
shop_9,2022-07-30,16.0
shop_11,2022-07-30,83.0
shop_12,2022-07-30,11.0
shop_13,2022-07-30,443.0
shop_16,2022-07-30,287.0
shop_17,2022-07-30,401.0
shop_18,2022-07-30,45.0
shop_19,2022-07-30,33.0
shop_0,2022-07-29,128.0
shop_1,2022-07-29,493.0
shop_2,2022-07-29,116.0
shop_3,2022-07-29,115.0
shop_4,2022-07-29,370.0
shop_6,2022-07-29,441.0
shop_11,2022-07-29,124.0
shop_13,2022-07-29,170.0
shop_15,2022-07-29,195.0
shop_16,2022-07-29,231.0
shop_17,2022-07-29,178.0
shop_18,2022-07-29,174.0
shop_19,2022-07-29,17.0
shop_0,2022-07-28,17.0
shop_1,2022-07-28,191.0
shop_2,2022-07-28,6.0
shop_3,2022-07-28,12.0
shop_4,2022-07-28,310.0
shop_6,2022-07-28,219.0
shop_8,2022-07-28,33.0
shop_9,2022-07-28,72.0
shop_11,2022-07-28,175.0
shop_14,2022-07-28,17.0
shop_15,2022-07-28,17.0
shop_17,2022-07-28,381.0
shop_18,2022-07-28,17.0
shop_19,2022-07-28,28.0
shop_0,2022-07-27,19.0
shop_1,2022-07-27,171.0
shop_2,2022-07-27,55.0
shop_3,2022-07-27,74.0
shop_4,2022-07-27,189.0
shop_6,2022-07-27,485.0
shop_7,2022-07-27,10.0
shop_8,2022-07-27,128.0
shop_9,2022-07-27,46.0
shop_10,2022-07-27,66.0
shop_11,2022-07-27,218.0
shop_13,2022-07-27,346.0
shop_14,2022-07-27,26.0
shop_15,2022-07-27,150.0
shop_16,2022-07-27,217.0
shop_17,2022-07-27,353.0
shop_18,2022-07-27,20.0
shop_19,2022-07-27,434.0
shop_1,2022-07-26,518.0
shop_2,2022-07-26,3.0
shop_3,2022-07-26,21.0
shop_4,2022-07-26,24.0
shop_5,2022-07-26,12.0
shop_6,2022-07-26,103.0
shop_7,2022-07-26,19.0
shop_8,2022-07-26,137.0
shop_11,2022-07-26,79.0
shop_13,2022-07-26,143.0
shop_14,2022-07-26,48.0
shop_15,2022-07-26,95.0
shop_16,2022-07-26,207.0
shop_17,2022-07-26,386.0
shop_18,2022-07-26,62.0
shop_19,2022-07-26,209.0
shop_0,2022-07-25,31.0
shop_2,2022-07-25,77.0
shop_3,2022-07-25,158.0
shop_4,2022-07-25,248.0
shop_6,2022-07-25,34.0
shop_8,2022-07-25,273.0
shop_9,2022-07-25,348.0
shop_10,2022-07-25,40.0
shop_11,2022-07-25,65.0
shop_12,2022-07-25,2.0
shop_13,2022-07-25,137.0
shop_15,2022-07-25,218.0
shop_16,2022-07-25,302.0
shop_17,2022-07-25,246.0
shop_19,2022-07-25,116.0
shop_1,2022-07-24,217.0
shop_2,2022-07-24,93.0
shop_3,2022-07-24,40.0
shop_4,2022-07-24,382.0
shop_5,2022-07-24,24.0
shop_6,2022-07-24,112.0
shop_7,2022-07-24,4.0
shop_8,2022-07-24,253.0
shop_9,2022-07-24,467.0
shop_10,2022-07-24,6.0
shop_13,2022-07-24,221.0
shop_14,2022-07-24,59.0
shop_15,2022-07-24,112.0
shop_17,2022-07-24,81.0
shop_18,2022-07-24,61.0
shop_19,2022-07-24,178.0
shop_0,2022-07-23,21.0
shop_1,2022-07-23,468.0
shop_2,2022-07-23,157.0
shop_3,2022-07-23,88.0
shop_4,2022-07-23,360.0
shop_5,2022-07-23,9.0
shop_6,2022-07-23,487.0
shop_8,2022-07-23,48.0
shop_9,2022-07-23,24.0
shop_11,2022-07-23,3.0
shop_12,2022-07-23,13.0
shop_13,2022-07-23,500.0
shop_14,2022-07-23,32.0
shop_15,2022-07-23,110.0
shop_16,2022-07-23,274.0
shop_17,2022-07-23,225.0
shop_18,2022-07-23,3.0
shop_19,2022-07-23,21.0
shop_0,2022-07-22,141.0
shop_1,2022-07-22,413.0
shop_3,2022-07-22,96.0
shop_4,2022-07-22,215.0
shop_5,2022-07-22,30.0
shop_6,2022-07-22,466.0
shop_7,2022-07-22,34.0
shop_9,2022-07-22,173.0
shop_11,2022-07-22,39.0
shop_12,2022-07-22,82.0
shop_13,2022-07-22,23.0
shop_15,2022-07-22,9.0
shop_16,2022-07-22,128.0
shop_17,2022-07-22,265.0
shop_18,2022-07-22,58.0
shop_19,2022-07-22,13.0
shop_0,2022-07-21,144.0
shop_1,2022-07-21,186.0
shop_2,2022-07-21,162.0
shop_3,2022-07-21,8.0
shop_5,2022-07-21,53.0
shop_6,2022-07-21,221.0
shop_7,2022-07-21,71.0
shop_8,2022-07-21,167.0
shop_9,2022-07-21,147.0
shop_11,2022-07-21,236.0
shop_13,2022-07-21,281.0
shop_14,2022-07-21,23.0
shop_15,2022-07-21,69.0
shop_16,2022-07-21,401.0
shop_17,2022-07-21,13.0
shop_18,2022-07-21,182.0
shop_19,2022-07-21,28.0
shop_0,2022-07-20,79.0
shop_1,2022-07-20,289.0
shop_3,2022-07-20,162.0
shop_4,2022-07-20,130.0
shop_6,2022-07-20,483.0
